"X","Company.name.Latin.alphabet","Inactive","Quoted","Branch","OwnData","Country.ISO.code","NACE.Rev..2..core.code..4.digits.","Consolidation.code","Last.avail..year","Operating.revenue..Turnover..th.USD.Last.avail..yr","Number.of.employees.Last.avail..yr"
1,"SAMSUNGELECTRONIC","No","Yes","No","No","KR",2611,"C2",2021,"235 635 256","n.a."
2,"SHENZHENXINJIAWEITECHNOLOGY","No","No","No","No","CN",2611,"U1",2019,"91 178 541","92"
3,"ITAKINTERNATIONAL","No","No","No","No","HK",2611,"LF",2020,"80 075 000","13"
4,"INTEL","No","Yes","No","No","US",2611,"C1",2021,"79 024 000","121 100"
5,"TAIWANSEMICONDUCTORMANUFACTURING","No","Yes","No","No","TW",2611,"C2",2021,"57 363 240","n.a."
6,"SHENZHENKEWEIXINOPTICSTECHNOLOGY","No","No","No","No","CN",2611,"U1",2019,"50 482 975","150"
7,"SKHYNIX","No","Yes","No","No","KR",2611,"C2",2021,"36 236 130","n.a."
8,"CHINAELECTRONICTECHNOLOGYGROUP","No","No","No","No","CN",2611,"C2",2020,"35 944 698","200 000"
9,"BOETECHNOLOGYGROUP","No","Yes","No","No","CN",2611,"C1",2021,"34 531 326","79 461"
10,"JABIL","No","Yes","No","No","US",2612,"C1",2021,"29 285 000","238 000"
11,"MICRONTECHNOLOGY","No","Yes","No","No","US",2611,"C1",2021,"27 705 000","43 000"
12,"TOSHIBA","No","Yes","No","No","JP",2611,"C2",2021,"27 679 487","116 224"
13,"BROADCOM","No","Yes","No","No","US",2611,"C1",2021,"27 450 000","20 000"
14,"NVIDIA","No","Yes","No","No","US",2611,"C1",2021,"26 914 000","22 473"
15,"SAMSUNGDISPLAY","No","No","No","No","KR",2611,"C2",2021,"26 594 896","n.a."
16,"FLEX","No","Yes","No","No","SG",2612,"C1",2021,"26 266 000","170 000"
17,"TCLTECHNOLOGYGROUP","No","Yes","No","No","CN",2611,"C1",2021,"25 902 492","65 159"
18,"LUXSHAREPRECISIONINDUSTRY","No","Yes","No","No","CN",2611,"C1",2021,"24 269 407","228 152"
19,"MICRONSEMICONDUCTORASIAOPERATIONS","No","No","No","No","SG",2611,"U1",2019,"22 768 836","n.a."
20,"DONGGUANYOURUNMETALPRODUCTS","No","No","No","No","CN",2611,"U1",2020,"21 790 488","72"
21,"ASMLHOLDING","No","Yes","No","No","NL",2611,"C1",2021,"21 320 861","32 016"
22,"SHARP","No","Yes","No","No","JP",2611,"C2",2021,"20 388 792","n.a."
23,"POINTWELLINVESTMENT","No","No","No","No","HK",2611,"LF",2021,"20 000 000","10"
24,"PEKINGUNIVERSITYFOUNDERGROUP","No","No","No","No","CN",2611,"C2",2018,"19 269 405","35 246"
25,"AVAGOTECHNOLOGYINTERNATIONALSALES","No","No","No","No","SG",2611,"U2",2019,"18 943 446","n.a."
26,"TEXASINSTRUMENT","No","Yes","No","No","US",2611,"C1",2021,"18 344 000","31 000"
27,"MEDIATEK","No","Yes","No","No","TW",2611,"C2",2021,"17 848 044","n.a."
28,"ZHUHAISPECIALECONOMICZONEHENGLILAIELECTRONIC","No","No","No","No","CN",2611,"U1",2020,"16 530 277","95"
29,"ADVANCEDMICRODEVICES","No","Yes","No","No","US",2611,"C1",2021,"16 434 000","15 500"
30,"TOKYOELECTRON","No","Yes","No","No","JP",2611,"C2",2021,"16 370 957","15 634"
